Altium Designer Pick and Place Locations
C:\Users\User\Downloads\PCB_uDCCD_Controller_r7\.\Outputs\uDCCD_Controller_r7_PNP.csv

========================================================================================================================
File Design Information:

Date:       15.09.21
Time:       16:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"J1","37.5000","9.5000","TopLayer","360"
"C106","36.2000","46.3000","TopLayer","360"
"C101","26.7000","41.3000","TopLayer","90"
"C202","15.9000","32.3650","TopLayer","360"
"C203","17.3000","31.8650","TopLayer","90"
"C204","8.6000","29.8000","TopLayer","180"
"C209","5.6000","21.4000","TopLayer","360"
"C400","30.7000","30.4499","TopLayer","270"
"C401","29.7000","27.3000","TopLayer","180"
"C402","36.2000","29.4500","TopLayer","270"
"C403","37.1000","29.4500","TopLayer","270"
"C501","47.0000","43.0000","TopLayer","270"
"C500","58.1000","41.5000","TopLayer","90"
"C110","62.9000","24.9000","TopLayer","360"
"C109","59.2000","24.9000","TopLayer","360"
"C108","70.3000","24.9000","TopLayer","360"
"C107","66.6000","24.9000","TopLayer","360"
"C105","31.2000","46.3000","TopLayer","360"
"C104","26.2000","46.3000","TopLayer","360"
"C103","36.7000","41.3000","TopLayer","90"
"C102","31.7000","41.3000","TopLayer","90"
"C207","6.3000","34.9000","TopLayer","360"
"C213","9.0000","45.9000","TopLayer","90"
"C212","12.4000","45.9000","TopLayer","90"
"C211","10.7000","45.9000","TopLayer","90"
"C208","5.6000","45.9000","TopLayer","90"
"C210","7.3000","45.9000","TopLayer","90"
"C100","56.9000","17.7000","TopLayer","360"
"C200","5.5000","28.1000","TopLayer","180"
"C201","6.3000","14.5000","TopLayer","180"
"C205","5.5000","31.1000","TopLayer","180"
"C206","5.5000","33.2000","TopLayer","180"
"C404","26.6000","25.5000","TopLayer","90"
"C406","21.1000","28.6000","TopLayer","180"
"D200","6.0000","17.1000","TopLayer","180"
"D402","30.7000","23.1000","TopLayer","360"
"F1","9.0000","10.5000","TopLayer","180"
"J502","60.5000","42.7000","TopLayer","360"
"J501","60.5000","40.3000","TopLayer","360"
"J500","60.5000","37.9000","TopLayer","360"
"R103","26.7000","37.5000","TopLayer","270"
"R106","25.7000","41.3000","TopLayer","270"
"R107","30.7000","41.3000","TopLayer","270"
"R108","35.7000","41.3000","TopLayer","270"
"R109","24.4000","46.3000","TopLayer","180"
"R110","29.4000","46.3000","TopLayer","180"
"R111","34.4000","46.3000","TopLayer","180"
"R116","66.6000","24.0000","TopLayer","180"
"R117","70.3000","24.0000","TopLayer","180"
"R118","59.2000","24.0000","TopLayer","180"
"R119","62.9000","24.0000","TopLayer","180"
"R200","15.9000","31.3650","TopLayer","180"
"R201","10.4000","29.8000","TopLayer","360"
"R202","13.0000","29.8000","TopLayer","360"
"R203","14.7000","29.8000","TopLayer","180"
"R204","5.6000","19.4000","TopLayer","360"
"R205","5.6000","20.4000","TopLayer","180"
"R316","52.7500","26.2000","TopLayer","270"
"R317","54.9500","31.6000","TopLayer","270"
"R318","40.8000","26.2000","TopLayer","90"
"R319","41.7500","31.6000","TopLayer","90"
"R320","40.8000","31.6000","TopLayer","90"
"R400","31.7000","30.4500","TopLayer","270"
"R401","32.8500","31.7000","TopLayer","90"
"R402","29.7000","26.3000","TopLayer","360"
"R403","29.7000","25.3000","TopLayer","360"
"R404","34.0000","31.7000","TopLayer","270"
"R405","33.0000","26.3000","TopLayer","270"
"R406","35.0000","26.3000","TopLayer","270"
"R410","17.6000","23.3000","TopLayer","360"
"R411","24.1000","23.4000","TopLayer","180"
"R412","20.9000","24.7499","TopLayer","360"
"R500","52.4000","36.0000","TopLayer","180"
"R315","50.5500","31.6000","TopLayer","270"
"R314","54.0000","31.6000","TopLayer","90"
"R313","51.8000","26.2000","TopLayer","90"
"R312","49.6000","31.6000","TopLayer","90"
"R308","48.3500","26.2000","TopLayer","270"
"R307","46.1500","31.6000","TopLayer","270"
"R306","43.9500","26.2000","TopLayer","270"
"R305","47.4000","26.2000","TopLayer","90"
"R304","45.2000","31.6000","TopLayer","90"
"R303","43.0000","26.2000","TopLayer","90"
"R105","36.6000","37.5000","TopLayer","270"
"R104","31.7000","37.5000","TopLayer","270"
"F2","56.0000","21.5000","TopLayer","270"
"R102","34.1000","36.5000","TopLayer","270"
"R112","65.6000","21.5000","TopLayer","270"
"R113","69.3000","21.5000","TopLayer","270"
"R114","58.2000","21.5000","TopLayer","270"
"R115","61.9000","21.5000","TopLayer","270"
"R407","33.5000","20.1000","TopLayer","360"
"R408","11.1000","24.9000","TopLayer","0"
"R409","33.5000","18.0000","TopLayer","360"
"R311","53.3000","19.6000","TopLayer","90"
"R310","51.1000","19.6000","TopLayer","90"
"R309","48.9000","19.6000","TopLayer","90"
"R302","46.7000","19.6000","TopLayer","90"
"R301","44.5000","19.6000","TopLayer","90"
"R300","42.3000","19.6000","TopLayer","90"
"R101","29.1000","36.5000","TopLayer","270"
"R100","24.1000","36.5000","TopLayer","270"
"D100","25.0000","39.5000","TopLayer","180"
"D101","29.9000","39.5000","TopLayer","180"
"D102","34.8000","39.5000","TopLayer","180"
"D201","7.9000","21.1000","TopLayer","270"
"D202","15.6000","36.6000","TopLayer","360"
"D403","25.4000","28.7000","TopLayer","180"
"U2","11.3000","33.0000","TopLayer","360"
"D103","66.1000","27.2000","TopLayer","90"
"D104","69.8000","27.2000","TopLayer","90"
"D105","58.7000","27.2000","TopLayer","90"
"D106","62.4000","27.2000","TopLayer","90"
"D203","5.1000","23.7000","TopLayer","90"
"D204","21.0000","36.5000","TopLayer","180"
"D400","27.0000","31.6000","TopLayer","180"
"D401","15.0000","24.4000","TopLayer","180"
"Q100","25.7000","44.0000","TopLayer","270"
"Q101","30.7000","44.0000","TopLayer","270"
"Q102","35.7000","44.0000","TopLayer","270"
"Q300","43.0000","23.5000","TopLayer","90"
"Q301","45.2000","28.9000","TopLayer","90"
"Q302","47.4000","23.5000","TopLayer","90"
"Q303","49.6000","28.9000","TopLayer","90"
"Q304","51.8000","23.5000","TopLayer","90"
"Q305","54.0000","28.9000","TopLayer","90"
"Q306","40.8000","28.9000","TopLayer","90"
"U4","34.0000","29.0000","TopLayer","360"
"U3","23.6000","25.7000","TopLayer","360"
"Q401","25.3625","20.1000","TopLayer","90"
"L200","9.0000","40.0000","TopLayer","90"
"Q400","15.8500","19.4000","TopLayer","90"
"U1","52.5000","41.5000","TopLayer","180"
